# name,mass,star_name,ra,dec
75 Cet b,3,75 Cet,"38,0375","-1,035"
WASP-77 A b,"1,76",WASP-77A,"37,1542","-7,0606"
WASP-117 b,"0,2755",WASP-117,"36,775000002","-50,284444451"
WASP-33 b,"2,1",WASP-33,"36,7125","37,5505556"
HD 224693 b,"0,71",HD 224693,"359,975","-22,4280556"
WASP-8 b,"2,244",WASP-8,"359,9","-35,0313889"
HD 224538 b,"5,97",HD 224538,"359,716666684","-61,586666681"
WASP-5 b,"1,637",WASP-5,"359,35","-41,2772222"
Qatar-3 b,"4,31",Qatar-3,"359,150000012","36,21305557"
HATS-16 b,"3,27",HATS-16,"358,558500005","-30,0130000104"
WASP-29 b,"0,242897146273",WASP-29,"357,8791667","-39,9066667"
WASP-91 b,"1,34",WASP-91,"357,845833341","-70,152777783"
WASP-60 b,"0,5",WASP-60,"356,6667","31,1558"
HD 222582 b,"7,75",HD 222582,"355,4625","-5,9855556"
kappa And b,14,kappa And,"355,1042","44,3339"
gamma Cephei b,"11,1",gamma Cephei,"354,8333333","77,6322222"
HAT-P-6 b,"1,057",HAT-P-6,"354,775","42,4661111"
HD 222076 b,"1,56",HD 222076,"354,533333336","-70,903333354"
HD 222155 b,"1,9",HD 222155,"354,5","48,9963889"
HIP 116454 b,"0,0372",HIP 116454,"353,954166683","0,445555574"
WASP-28 b,"0,907",WASP-28,"353,6166667","-1,58"
WASP-4 b,"1,237",WASP-4,"353,5625","-42,0613889"
HD 221585 b,"1,61",HD 221585,"353,225000018","63,1554805629"
HD 221287 b,"3,09",HD 221287,"352,8333333","-58,2097222"
14 And b,"5,33",14 And,"352,8208333","39,2361111"
GJ 9827 b,"0,0134",GJ 9827,"352,104166695","-1,286388897"
GJ 9827 c,"0,00827",GJ 9827,"352,104166695","-1,286388897"
GJ 9827 d,"0,0167",GJ 9827,"352,104166695","-1,286388897"
HD 220842 b,"3,18",HD 220842,"351,654166679","56,886666687"
HD 220773 b,"1,45",HD 220773,"351,6125","8,6438889"
HD 220689 b,"1,06",HD 220689,"351,4708333","-20,6161111"
HD 220074 b,"11,1",HD 220074,"350,0583","61,97"
HAT-P-38 b,"0,267",HAT-P-38,"35,3830000106","32,2463333484"
HD 219828 b,"0,0661",HD 219828,"349,6958333","18,6458333"
HD 219828 c,"15,1",HD 219828,"349,6958333","18,6458333"
WASP-59 b,"0,7",WASP-59,"349,625","24,8892"
WASP-10 b,"3,16",WASP-10,"348,9916667","31,4627778"
91 Aqr b,"3,2",91 Aqr,"348,9708333","-9,0875"
HD 240237 b,"5,3",HD 240237,"348,925","58,0433333"
HD 219415 b,1,HD 219415,"348,725","56,7303"
HD 219077 b,"10,39",HD 219077,"348,5292","-62,7"
WASP-52 b,"0,46",WASP-52,"348,4958","8,7614"
HD 219134 b,"0,012",HD 219134,"348,320833339","57,168333338"
HD 219134 c,"0,011",HD 219134,"348,320833339","57,168333338"
HD 219134 d,"0,067",HD 219134,"348,320833339","57,168333338"
HD 219134 e,"0,0117",HD 219134,"348,320833339","57,168333338"
HD 219134 g,"0,034",HD 219134,"348,320833339","57,168333338"
HD 219134 h,"0,28",HD 219134,"348,320833339","57,168333338"
WASP-6 b,"0,503",WASP-6,"348,1583333","-22,6738889"
HD 240210 b,"6,9",HD 240210,"347,6208333","57,0294444"
WASP-21 b,"0,3",WASP-21,"347,4916667","18,3961111"
HD 218566 b,"0,21",HD 218566,"347,2958333","-2,2608333"
HR 8799 b,7,HR 8799,"346,8708333","21,1341667"
HR 8799 c,10,HR 8799,"346,8708333","21,1341667"
HR 8799 d,10,HR 8799,"346,8708333","21,1341667"
HR 8799 e,9,HR 8799,"346,8708333","21,1341667"
TRAPPIST-1 b,"0,0027",TRAPPIST-1,"346,620833343","-5,041388896"
TRAPPIST-1 c,"0,00434",TRAPPIST-1,"346,620833343","-5,041388896"
TRAPPIST-1 d,"0,0013",TRAPPIST-1,"346,620833343","-5,041388896"
TRAPPIST-1 e,"0,002",TRAPPIST-1,"346,620833343","-5,041388896"
TRAPPIST-1 f,"0,0021",TRAPPIST-1,"346,620833343","-5,041388896"
TRAPPIST-1 g,"0,00422",TRAPPIST-1,"346,620833343","-5,041388896"
HATS-32 b,"0,92",HATS-32,"346,075000006","-21,271944454"
HD 217786 b,13,HD 217786,"345,7833333","0,4297222"
BD+24 4697 b,53,BD+24 4697,"345,412500013","25,788055575"
HD 217107 b,"1,33",HD 217107,"344,5625","-2,395"
HD 217107 c,"2,49",HD 217107,"344,5625","-2,395"
HAT-P-1 b,"0,525",HAT-P-1,"344,4458333","38,675"
Fomalhaut b,3,Fomalhaut,"344,4125","-29,6222222"
51 Peg b,"0,47",51 Peg,"344,3625","20,7686111"
HD 216770 b,"0,65",HD 216770,"343,9708333","-26,6586111"
TYC 4282-605-1 b,"10,78", TYC 4282-605-1,"343,87190876","62,2391247315"
HD 216437 b,"1,82",HD 216437,"343,6625","-70,0736111"
HD 216435 b,"1,26",HD 216435,"343,4041667","-48,5980556"
GJ 876 b,"1,938",GJ 876,"343,3041667","-14,2536111"
GJ 876 c,"0,856",GJ 876,"343,3041667","-14,2536111"
GJ 876 d,"0,022",GJ 876,"343,3041667","-14,2536111"
GJ 876 e,"0,045",GJ 876,"343,3041667","-14,2536111"
HAT-P-8 b,"1,34",HAT-P-8,"343,0416667","35,4472222"
WASP-75 b,"1,07",WASP-75,"342,3875","-10,6755"
HD 215497 b,"0,02",HD 215497,"341,6541667","-56,5994444"
HD 215497 c,"0,33",HD 215497,"341,6541667","-56,5994444"
HD 215456 b,"0,101",HD 215456,"341,5333333","-48,9677778"
HD 215456 c,"0,246",HD 215456,"341,5333333","-48,9677778"
HD 215152 b,"0,0087",HD 215152,"340,8375","-6,4008333"
HD 215152 c,"0,0097",HD 215152,"340,8375","-6,4008333"
PSR J2241-5236 b,12,PSR J2241-5236,"340,425000014","-52,61000002"
HD 214823 b,"19,2",HD 214823,"340,082916673","31,7875916857"
2M 0219-39 b,"13,9",2M 0219-39,"34,841666674","-39,423055569"
HD 12648 b,"2,9",HD 12648,"34,75","85,736111128"
HD 13908 b,"0,865",HD 13908,"34,562500005","65,594444465"
HD 13908 c,"5,13",HD 13908,"34,562500005","65,594444465"
HD 14067 b,"7,8",HD 14067,"34,2934990035","23,7678282663"
HD 13931 b,"1,88",HD 13931,"34,1958333","43,7730556"
K2-39 b,"0,125",K2-39,"339,866666676","-9,022777783"
WASP-112 b,"0,88",WASP-112,"339,487500019","-35,153888895"
2M 2236+4751 b,"12,5",2M 2236+4751,"339,104166675","47,861944471"
HD 216536 b,"1,47",HD 216536,"338,95","44,477777796"
K2-60 b,"0,426",K2-60,"338,606208342","-13,7317028041"
HD 213240 b,"4,5",HD 213240,"337,75","-49,4330556"
WASP-95 b,"1,13",WASP-95,"337,4583","-48,0031"
HD 212301 b,"0,4",HD 212301,"336,875","-77,7177778"
HD 212771 b,"2,3",HD 212771,"336,7625","-17,2636111"
WASP-102 b,"0,624",WASP-102,"336,464362517","15,8567472446"
HAT-P-40 b,"0,615",HAT-P-40,"335,5125","45,4575"
HD 211847 b,"19,2",HD 211847,"335,233333352","-41,430000019"
HIP 109600 b,"2,68",HIP 109600,"333,025000002","29,065833347"
HD 210702 b,"1,9",HD 210702,"332,9625","16,0405556"
WASP-124 b,"0,6",WASP-124,"332,712500017","-30,749444472"
GJ 849 b,"0,9",GJ 849,"332,4167","-4,6408"
GJ 849 c,"0,77",GJ 849,"332,4167","-4,6408"
